날짜,지점,강수량(mm),
2017-09-03,108,,
2017-09-04,108,0,0
2017-09-05,108,1.3,1.3
2017-09-06,108,,
2017-09-07,108,,
2017-09-08,108,,
2017-09-09,108,0,0
2017-09-10,108,15.7,15.7
2017-09-11,108,,
2017-09-12,108,,
2017-09-13,108,,
2017-09-14,108,,
2017-09-15,108,,
2017-09-16,108,,
2017-09-17,108,,
2017-09-18,108,7.8,7.8
2017-09-19,108,,
2017-09-20,108,,
2017-09-21,108,,
2017-09-22,108,,
2017-09-23,108,,
2017-09-24,108,,
2017-09-25,108,0,0
2017-09-26,108,1.3,1.3
2017-09-27,108,,
2017-09-28,108,,
2017-09-29,108,,
2017-09-30,108,10,10
2017-10-01,108,1.6,1.6
2017-10-02,108,,
2017-10-03,108,,
2017-10-04,108,,
2017-10-05,108,0,0
2017-10-06,108,,
2017-10-07,108,,
2017-10-08,108,,
2017-10-09,108,0.1,0.1
2017-10-10,108,16.8,16.8
2017-10-11,108,0.2,0.2
2017-10-12,108,,
2017-10-13,108,,
2017-10-14,108,,
2017-10-15,108,,
2017-10-16,108,,
2017-10-17,108,0,0
2017-10-18,108,,
2017-10-19,108,,
2017-10-20,108,,
2017-10-21,108,,
2017-10-22,108,,
2017-10-23,108,,
2017-10-24,108,,
2017-10-25,108,,
2017-10-26,108,,
2017-10-27,108,,
2017-10-28,108,,
2017-10-29,108,,
2017-10-30,108,,
2017-10-31,108,,
2017-11-01,108,0,0
2017-11-02,108,2.2,2.2
2017-11-03,108,,
2017-11-04,108,,
2017-11-05,108,,
2017-11-06,108,0,0
2017-11-07,108,0.2,0.2
2017-11-08,108,,
2017-11-09,108,9.6,9.6
2017-11-10,108,,
2017-11-11,108,,
2017-11-12,108,7.8,7.8
2017-11-13,108,,
2017-11-14,108,0.2,0.2
2017-11-15,108,,
2017-11-16,108,0.2,0.2
2017-11-17,108,,
2017-11-18,108,,
2017-11-19,108,0.7,0.7
2017-11-20,108,,
2017-11-21,108,0.1,0.1
2017-11-22,108,1.9,1.9
2017-11-23,108,1.5,1.5
2017-11-24,108,13,13
2017-11-25,108,0.2,0.2
2017-11-26,108,,
2017-11-27,108,0,0
2017-11-28,108,0,0
2017-11-29,108,,
2017-11-30,108,0,0
2017-12-01,108,,
2017-12-02,108,4,4
2017-12-03,108,0.4,0.4
2017-12-04,108,0,0
2017-12-05,108,3.2,3.2
2017-12-06,108,0.2,0.2
2017-12-07,108,,
2017-12-08,108,,
2017-12-09,108,7.6,7.6
2017-12-10,108,,
2017-12-11,108,,
2017-12-12,108,,
2017-12-13,108,,
2017-12-14,108,0,0
2017-12-15,108,,
2017-12-16,108,0,0
2017-12-17,108,1.2,1.2
2017-12-18,108,,
2017-12-19,108,1.1,1.1
2017-12-20,108,,
2017-12-21,108,,
2017-12-22,108,,
2017-12-23,108,17,17
2017-12-24,108,0,0
2017-12-25,108,0,0
2017-12-26,108,,
2017-12-27,108,0,0
2017-12-28,108,,
2017-12-29,108,3.3,3.3
2017-12-30,108,0.5,0.5
2017-12-31,108,1,
